2017-10-06 16:07:40,518 INFO [91388148]       StepMonitoring.java:96   | STEMS
2017-10-06 16:07:42,402 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:43,715 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:43,722 INFO [91388148]       StepMonitoring.java:96   | REDUCTION
2017-10-06 16:07:44,179 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:45,103 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:45,106 INFO [91388148]       StepMonitoring.java:96   | CUE_BEAMS
2017-10-06 16:07:45,110 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:46,027 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:46,030 INFO [91388148]       StepMonitoring.java:96   | TEXTS
2017-10-06 16:07:47,472 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:48,392 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:48,395 INFO [91388148]       StepMonitoring.java:96   | MEASURES
2017-10-06 16:07:48,400 INFO [91388148]                 Page.java:210  | 15 raw measures: [5 in system#1, 5 in system#2, 5 in system#3]
2017-10-06 16:07:48,400 INFO [91388148]                 Page.java:210  | 9 raw measures: [5 in system#4, 4 in system#5]
2017-10-06 16:07:48,402 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:49,336 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:49,339 INFO [91388148]       StepMonitoring.java:96   | CHORDS
2017-10-06 16:07:49,357 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:50,336 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:50,339 INFO [91388148]       StepMonitoring.java:96   | CURVES
2017-10-06 16:07:51,816 INFO [91388148]         SlursBuilder.java:762  | RIGHT collision SlurInter{#5212(0.646)} & SlurInter{#5267(0.458)} @ HeadInter{#2340(0.694/0.867) e#5004 s:3 p:5.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,817 INFO [91388148]         SlursBuilder.java:762  | RIGHT collision SlurInter{#5212(0.646)} & SlurInter{#5339(0.302)} @ HeadInter{#2340(0.694/0.867) e#5004 s:3 p:5.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,819 INFO [91388148]         SlursBuilder.java:762  | LEFT collision SlurInter{#5267(0.458)} & SlurInter{#5339(0.302)} @ HeadInter{#2388(0.637/0.811) e#5003 s:3 p:4.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,820 INFO [91388148]         SlursBuilder.java:762  | RIGHT collision SlurInter{#5267(0.458)} & SlurInter{#5212(0.646)} @ HeadInter{#2340(0.694/0.867) e#5004 s:3 p:5.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,823 INFO [91388148]         SlursBuilder.java:762  | RIGHT collision SlurInter{#5267(0.458)} & SlurInter{#5339(0.302)} @ HeadInter{#2340(0.694/0.867) e#5004 s:3 p:5.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,824 INFO [91388148]         SlursBuilder.java:762  | LEFT collision SlurInter{#5339(0.302)} & SlurInter{#5267(0.458)} @ HeadInter{#2388(0.637/0.811) e#5003 s:3 p:4.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,825 INFO [91388148]         SlursBuilder.java:762  | RIGHT collision SlurInter{#5339(0.302)} & SlurInter{#5212(0.646)} @ HeadInter{#2340(0.694/0.867) e#5004 s:3 p:5.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,825 INFO [91388148]         SlursBuilder.java:762  | RIGHT collision SlurInter{#5339(0.302)} & SlurInter{#5267(0.458)} @ HeadInter{#2340(0.694/0.867) e#5004 s:3 p:5.00 NOTEHEAD_BLACK}
2017-10-06 16:07:51,828 INFO [91388148]         SlursBuilder.java:157  | Slurs: 26
2017-10-06 16:07:51,843 INFO [91388148]      SegmentsBuilder.java:113  | Segments: 10
2017-10-06 16:07:51,850 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:53,275 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:53,277 INFO [91388148]       StepMonitoring.java:96   | SYMBOLS
2017-10-06 16:07:55,851 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:57,327 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:57,330 INFO [91388148]       StepMonitoring.java:96   | LINKS
2017-10-06 16:07:57,387 INFO [91388148]        SymbolsLinker.java:323  | No chord above direction SentenceInter{#4910(0.648) s:6 IS-44 Direction} I93
2017-10-06 16:07:57,409 INFO [91388148]        SymbolsLinker.java:306  | No measure stack for direction SentenceInter{#4926(0.607) s:7 S-37 Direction} J 100.
2017-10-06 16:07:57,412 INFO [91388148]        SymbolsLinker.java:323  | No chord above direction SentenceInter{#4932(0.632) s:8 IS-41 Direction} rallent.
2017-10-06 16:07:57,465 INFO [91388148]            BasicBook.java:1395 | Stored /book.xml
2017-10-06 16:07:58,995 INFO [91388148]           BasicSheet.java:979  | Stored /sheet#1/sheet#1.xml
2017-10-06 16:07:58,998 INFO [91388148]       StepMonitoring.java:96   | RHYTHMS
2017-10-06 16:07:59,025 INFO [91388148]         SlotsBuilder.java:399  | Stack#8 suspicious Slot{#3 xOffset=156 timeOffset=1/4 incomings=[#4992#5015]}
2017-10-06 16:07:59,027 INFO [91388148]         SlotsBuilder.java:399  | Stack#10 suspicious Slot{#5 xOffset=234 timeOffset=3/8 incomings=[#5002]}
2017-10-06 16:07:59,036 INFO [91388148]           PageRhythm.java:314  | Range{1-15} Durations avgGuess:1/2 topGuess:1/2 avgValue:0.51 stacks:15 voices:33 Histogram{1/4-5/8 size:5 [1/4=4 3/8=2 1/2=24 9/16=1 5/8=2]}
2017-10-06 16:07:59,037 INFO [91388148]           PageRhythm.java:221  | S1 Range{1-15 dur:1/2} should update to 1/2-based time sig?
2017-10-06 16:07:59,046 INFO [91388148]                Voice.java:257  | S2 MeasureStack#7 Voice #1 too long 1/8
2017-10-06 16:07:59,047 INFO [91388148]                Voice.java:257  | S2 MeasureStack#7 Voice #2 too long 1/8
2017-10-06 16:07:59,047 INFO [91388148]           StackTuner.java:92   | S2 MeasureStack#7 no correct rhythm
2017-10-06 16:07:59,049 INFO [91388148]         SlotsBuilder.java:427  | S2 MeasureStack#8 Slot{#5 xOffset=205 timeOffset=3/8 incomings=[#4993] SUSPICIOUS}
2017-10-06 16:07:59,051 INFO [91388148]         SlotsBuilder.java:427  | S2 MeasureStack#10 Slot{#7 xOffset=282 timeOffset=1/2 incomings=[#5003] SUSPICIOUS}
2017-10-06 16:07:59,052 INFO [91388148]                Voice.java:257  | S2 MeasureStack#10 Voice #1 too long 1/4
2017-10-06 16:07:59,053 INFO [91388148]                Voice.java:257  | S2 MeasureStack#10 Voice #2 too long 1/16
2017-10-06 16:07:59,053 INFO [91388148]           StackTuner.java:92   | S2 MeasureStack#10 no correct rhythm
2017-10-06 16:07:59,055 INFO [91388148]                Voice.java:257  | S3 MeasureStack#12 Voice #1 too long 1/16
2017-10-06 16:07:59,055 INFO [91388148]           StackTuner.java:92   | S3 MeasureStack#12 no correct rhythm
2017-10-06 16:07:59,066 INFO [91388148]         SlotsBuilder.java:399  | Stack#3 suspicious Slot{#2 xOffset=64 timeOffset=3/16 incomings=[#5103]}
2017-10-06 16:07:59,068 INFO [91388148]         SlotsBuilder.java:399  | Stack#4 suspicious Slot{#2 xOffset=59 timeOffset=3/16 incomings=[#5109]}
2017-10-06 16:07:59,069 INFO [91388148]         SlotsBuilder.java:434  | Stack#5 endless loop detected
